caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
España,Vera,Olula del Río,39.7850977759862,0.0030037828439068437,True
España,Vera,Carboneras,27.929815982807607,0.005195292080553103,True
España,Vera,Uleila del Campo,30.48821934092517,0.004615661536126186,True
España,Vera,Níjar,43.32277892186621,0.0025510115406720516,True
España,Vera,Pulpí,21.3134571660665,0.007056284452373083,True
España,Vera,Águilas,30.80403953924254,0.004548761221356443,True
España,Vera,Puerto Lumbreras,35.43788362067402,0.0036718539803406378,True
España,Turre,Olula del Río,42.04292751240214,0.0027063321374482044,True
España,Turre,Carboneras,17.308605184712942,0.008494726372582237,True
España,Turre,Uleila del Campo,27.61902838717976,0.005270505820520111,True
España,Turre,Níjar,34.56271395773936,0.0038233820633941005,True
España,Turre,Pulpí,31.746437552097007,0.00435485662581791,True
España,Turre,Águilas,39.407390720333574,0.0030566463584671792,True
España,Canjáyar,Ejido (El),26.890757198519115,0.005451062899457671,True
España,Canjáyar,Gérgal,21.714332448471737,0.00692651872317763,True
España,Canjáyar,Nevada,24.619726534687945,0.0060549585852485155,True
España,Canjáyar,Roquetas de Mar,29.46256643538238,0.004839808072348396,True
España,Canjáyar,Tabernas,31.11807651940308,0.004483202798023881,True
España,Canjáyar,Cádiar,39.78345731414279,0.003004010450126441,True
España,Canjáyar,Valle del Zalabí,38.907141829952444,0.0031280977076027106,True
España,Canjáyar,Jerez del Marquesado,41.99637890283666,0.0027121562395811755,True
España,Olula del Río,Oria,14.7814581003037,0.00955071679152222,True
España,Olula del Río,Gérgal,33.38083800067078,0.0040380087911388645,True
España,Olula del Río,Uleila del Campo,20.32249892434865,0.007387644341272959,True
España,Olula del Río,Vélez-Blanco,41.6921441483808,0.0027505319589243675,True
España,Olula del Río,Níjar,43.72160455938204,0.0025044588867259524,True
España,Olula del Río,Tíjola,12.512991202875133,0.010610758154074647,True
España,Olula del Río,Tabernas,34.681777319920684,0.0038024046112634024,True
España,Olula del Río,Caniles,38.63163073316682,0.003168161299610911,True
España,Olula del Río,Cúllar,35.57565627993081,0.0036485542857400332,True
España,Carboneras,Uleila del Campo,34.51522703532315,0.0038317809748600585,True
España,Carboneras,Níjar,27.880730139833613,0.005207099340585966,True
España,Carboneras,Tabernas,44.57093027532738,0.0024081358931971803,True
España,Oria,Uleila del Campo,34.27082627592865,0.003875300997508582,True
España,Oria,Vélez-Blanco,28.857918553088016,0.0049770304916834495,True
España,Oria,Tíjola,20.083706908832045,0.007469803389967019,True
España,Oria,Caniles,38.11002824172696,0.0032454234036348364,True
