red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
cyl,betweenness_adaptive,0.25,0.586,0.07581556568409946,8.049873179478501e-05,0.000414922954005795
cyl,betweenness_adaptive,0.26,0.5362,0.08955199606932278,,
cyl,betweenness_adaptive,0.27,0.4966,0.08950106144621973,,
cyl,betweenness_adaptive,0.28,0.43940000000000007,0.10651591430391985,,
cyl,betweenness_adaptive,0.29,0.38520000000000004,0.09808649244416888,,
cyl,betweenness_adaptive,0.3,0.314,0.1036725614615555,0.0,0.0
cyl,betweenness_adaptive,0.31,0.265,0.10004498987955368,,
cyl,betweenness_adaptive,0.32,0.22019999999999995,0.08348628629900842,,
cyl,betweenness_adaptive,0.33,0.1796,0.07036931149300808,,
cyl,betweenness_adaptive,0.34,0.148,0.05488169093604897,,
cyl,betweenness_adaptive,0.35,0.12040000000000001,0.032555183919001286,0.0,0.0
cyl,betweenness_adaptive,0.36,0.1016,0.026560120481654445,,
cyl,betweenness_adaptive,0.37,0.0868,0.02222071105972984,,
cyl,betweenness_adaptive,0.38,0.07479999999999999,0.016029971927611103,,
cyl,betweenness_adaptive,0.39,0.065,0.011357816691600547,,
cyl,betweenness_adaptive,0.4,0.05819999999999999,0.010897706180660221,0.0,0.0
cyl,betweenness_adaptive,0.41,0.05239999999999998,0.008616263691415207,,
cyl,betweenness_adaptive,0.42,0.047799999999999995,0.00782048591840686,,
cyl,betweenness_adaptive,0.43,0.043,0.0060827625302982205,,
cyl,betweenness_adaptive,0.44,0.0398,0.005827520913733388,,
cyl,betweenness_adaptive,0.45,0.0376,0.006183849933496124,0.0,0.0
cyl,betweenness_adaptive,0.46,0.034800000000000005,0.0060794736614282665,,
cyl,betweenness_adaptive,0.47,0.032,0.0048989794855663574,,
cyl,betweenness_adaptive,0.48,0.0304,0.0034409301068170513,,
cyl,betweenness_adaptive,0.49,0.028999999999999998,0.00412310562561766,,
cyl,betweenness_adaptive,0.5,0.025800000000000003,0.004935585071701226,0.0,0.0
